Name	Description	chrom	type	start_hg19	end_hg19	strand	ts_id	gene_type	gene_status	loci_level	alias_symbol	official_name	nodes	SNP	SNP_chr	SNP_pos_hg19	distance	index
ENSG00000078618.13	NRD1	chr1	gene	52254863	52344477	-	ENSG00000078618.13	protein_coding	KNOWN	1	NRD1	NRD1	1	rs58432198	chr1	51256091	998772	10
ENSG00000162599.10	NFIA	chr1	gene	61330931	61928465	+	ENSG00000162599.10	protein_coding	KNOWN	2	NFIA	NFIA	1	rs12140153	chr1	62579891	-1248960	9
ENSG00000162604.6	TM2D1	chr1	gene	62146717	62191095	-	ENSG00000162604.6	protein_coding	KNOWN	2	TM2D1	TM2D1	1	rs12140153	chr1	62579891	-433174	6
ENSG00000132849.13	INADL	chr1	gene	62208149	62629592	+	ENSG00000132849.13	protein_coding	KNOWN	2	INADL	INADL	1	rs12140153	chr1	62579891	-371742	5
ENSG00000240563.1	L1TD1	chr1	gene	62660503	62678000	+	ENSG00000240563.1	protein_coding	KNOWN	2	L1TD1	L1TD1	1	rs12140153	chr1	62579891	80612	1
ENSG00000132854.14	KANK4	chr1	gene	62702651	62785085	-	ENSG00000132854.14	protein_coding	KNOWN	2	KANK4	KANK4	1	rs12140153	chr1	62579891	122760	2
ENSG00000162607.8	USP1	chr1	gene	62901968	62917475	+	ENSG00000162607.8	protein_coding	KNOWN	2	USP1	USP1	1	rs12140153	chr1	62579891	322077	3
ENSG00000116641.10	DOCK7	chr1	gene	62920399	63153969	-	ENSG00000116641.10	protein_coding	KNOWN	2	DOCK7	DOCK7	1	rs12140153	chr1	62579891	340508	4
ENSG00000132855.4	ANGPTL3	chr1	gene	63063158	63071830	+	ENSG00000132855.4	protein_coding	KNOWN	2	ANGPTL3	ANGPTL3	1	rs12140153	chr1	62579891	483267	7
ENSG00000125703.8	ATG4C	chr1	gene	63249806	63339980	+	ENSG00000125703.8	protein_coding	KNOWN	2	ATG4C	ATG4C	1	rs12140153	chr1	62579891	669915	8
ENSG00000116793.10	PHTF1	chr1	gene	114234854	114302111	-	ENSG00000116793.10	protein_coding	KNOWN	2	PHTF1	PHTF1	1	rs184660829	chr1	115144899	-910045	20
ENSG00000081019.9	RSBN1	chr1	gene	114304454	114355098	-	ENSG00000081019.9	protein_coding	KNOWN	2	RSBN1	RSBN1	1	rs184660829	chr1	115144899	-840445	19
ENSG00000134242.11	PTPN22	chr1	gene	114356433	114414381	-	ENSG00000134242.11	protein_coding	KNOWN	2	PTPN22	PTPN22	1	rs184660829	chr1	115144899	-788466	18
ENSG00000188761.7	BCL2L15	chr1	gene	114420790	114430169	-	ENSG00000188761.7	protein_coding	KNOWN	1	BCL2L15	BCL2L15	1	rs184660829	chr1	115144899	-724109	17
ENSG00000134262.8	AP4B1	chr1	gene	114437370	114447823	-	ENSG00000134262.8	protein_coding	KNOWN	2	AP4B1	AP4B1	1	rs184660829	chr1	115144899	-707529	16
ENSG00000118655.4	DCLRE1B	chr1	gene	114447763	114456708	+	ENSG00000118655.4	protein_coding	KNOWN	2	DCLRE1B	DCLRE1B	1	rs184660829	chr1	115144899	-697136	15
ENSG00000163349.15	HIPK1	chr1	gene	114471814	114520426	+	ENSG00000163349.15	protein_coding	KNOWN	1	HIPK1	HIPK1	1	rs184660829	chr1	115144899	-673085	13
ENSG00000116774.7	OLFML3	chr1	gene	114522063	114524876	+	ENSG00000116774.7	protein_coding	KNOWN	2	OLFML3	OLFML3	1	rs184660829	chr1	115144899	-622836	12
ENSG00000134207.8	SYT6	chr1	gene	114631914	114696541	-	ENSG00000134207.8	protein_coding	KNOWN	2	SYT6	SYT6	1	rs184660829	chr1	115144899	-512985	11
ENSG00000197323.6	TRIM33	chr1	gene	114935399	115053781	-	ENSG00000197323.6	protein_coding	KNOWN	2	TRIM33	TRIM33	1	rs184660829	chr1	115144899	-209500	7
ENSG00000116752.5	BCAS2	chr1	gene	115110178	115124260	-	ENSG00000116752.5	protein_coding	KNOWN	2	BCAS2	BCAS2	1	rs184660829	chr1	115144899	-34721	2
ENSG00000175984.8	DENND2C	chr1	gene	115125469	115213043	-	ENSG00000175984.8	protein_coding	KNOWN	1	DENND2C	DENND2C	1	rs184660829	chr1	115144899	-19430	1
ENSG00000116748.14	AMPD1	chr1	gene	115215719	115238239	-	ENSG00000116748.14	protein_coding	KNOWN	1	AMPD1	AMPD1	1	rs184660829	chr1	115144899	70820	3
ENSG00000213281.4	NRAS	chr1	gene	115247090	115259515	-	ENSG00000213281.4	protein_coding	KNOWN	2	NRAS	NRAS	1	rs184660829	chr1	115144899	102191	4
ENSG00000009307.11	CSDE1	chr1	gene	115259534	115301297	-	ENSG00000009307.11	protein_coding	KNOWN	1	CSDE1	CSDE1	1	rs184660829	chr1	115144899	114635	5
ENSG00000052723.7	SIKE1	chr1	gene	115312100	115323306	-	ENSG00000052723.7	protein_coding	KNOWN	2	SIKE1	SIKE1	1	rs184660829	chr1	115144899	167201	6
ENSG00000198765.6	SYCP1	chr1	gene	115397424	115537991	+	ENSG00000198765.6	protein_coding	KNOWN	2	SYCP1	SYCP1	1	rs184660829	chr1	115144899	252525	8
ENSG00000134200.2	TSHB	chr1	gene	115572415	115576941	+	ENSG00000134200.2	protein_coding	KNOWN	2	TSHB	TSHB	1	rs184660829	chr1	115144899	427516	9
ENSG00000134198.5	TSPAN2	chr1	gene	115590632	115632121	-	ENSG00000134198.5	protein_coding	KNOWN	2	TSPAN2	TSPAN2	1	rs184660829	chr1	115144899	445733	10
ENSG00000134259.3	NGF	chr1	gene	115828539	115880857	-	ENSG00000134259.3	protein_coding	KNOWN	2	NGF	NGF	1	rs184660829	chr1	115144899	683640	14
ENSG00000163393.8	SLC22A15	chr1	gene	116519119	116612675	+	ENSG00000163393.8	protein_coding	KNOWN	2	SLC22A15	SLC22A15	1	rs1127215	chr1	117532790	-1013671	17
ENSG00000173212.4	MAB21L3	chr1	gene	116654376	116677861	+	ENSG00000173212.4	protein_coding	KNOWN	2	MAB21L3	MAB21L3	1	rs1127215	chr1	117532790	-878414	13
ENSG00000163399.10	ATP1A1	chr1	gene	116915290	116952883	+	ENSG00000163399.10	protein_coding	KNOWN	2	ATP1A1	ATP1A1	1	rs1127215	chr1	117532790	-617500	12
ENSG00000116815.11	CD58	chr1	gene	117057157	117113661	-	ENSG00000116815.11	protein_coding	KNOWN	2	CD58	CD58	1	rs1127215	chr1	117532790	-475633	10
ENSG00000143061.13	IGSF3	chr1	gene	117117031	117210375	-	ENSG00000143061.13	protein_coding	KNOWN	2	IGSF3	IGSF3	1	rs1127215	chr1	117532790	-415759	9
ENSG00000203864.1	C1orf137	chr1	gene	117236734	117249225	+	ENSG00000203864.1	protein_coding	KNOWN	2	C1orf137	C1orf137	1	rs1127215	chr1	117532790	-296056	7
ENSG00000116824.4	CD2	chr1	gene	117297007	117311850	+	ENSG00000116824.4	protein_coding	KNOWN	2	CD2	CD2	1	rs1127215	chr1	117532790	-235783	6
ENSG00000134247.8	PTGFRN	chr1	gene	117452679	117532980	+	ENSG00000134247.8	protein_coding	KNOWN	2	PTGFRN	PTGFRN	1	rs1127215	chr1	117532790	-80111	3
ENSG00000134256.8	CD101	chr1	gene	117544382	117579167	+	ENSG00000134256.8	protein_coding	KNOWN	2	CD101	CD101	1	rs1127215	chr1	117532790	11592	1
ENSG00000116830.5	TTF2	chr1	gene	117602925	117645492	+	ENSG00000116830.5	protein_coding	KNOWN	2	TTF2	TTF2	1	rs1127215	chr1	117532790	70135	2
ENSG00000134253.5	TRIM45	chr1	gene	117653682	117665209	-	ENSG00000134253.5	protein_coding	KNOWN	2	TRIM45	TRIM45	1	rs1127215	chr1	117532790	120892	4
ENSG00000134258.11	VTCN1	chr1	gene	117686209	117753556	-	ENSG00000134258.11	protein_coding	KNOWN	2	VTCN1	VTCN1	1	rs1127215	chr1	117532790	153419	5
ENSG00000198162.6	MAN1A2	chr1	gene	117910071	118071494	+	ENSG00000198162.6	protein_coding	KNOWN	2	MAN1A2	MAN1A2	1	rs1127215	chr1	117532790	377281	8
ENSG00000183508.4	FAM46C	chr1	gene	118148556	118170994	+	ENSG00000183508.4	protein_coding	KNOWN	2	FAM46C	FAM46C	1	rs1127215	chr1	117532790	615766	11
ENSG00000196505.5	GDAP2	chr1	gene	118412037	118472253	-	ENSG00000196505.5	protein_coding	KNOWN	2	GDAP2	GDAP2	1	rs1127215	chr1	117532790	879247	14
ENSG00000065183.10	WDR3	chr1	gene	118472343	118503049	+	ENSG00000065183.10	protein_coding	KNOWN	2	WDR3	WDR3	1	rs1127215	chr1	117532790	939553	15
ENSG00000155761.9	SPAG17	chr1	gene	118496484	118727846	-	ENSG00000155761.9	protein_coding	KNOWN	2	SPAG17	SPAG17	1	rs1127215	chr1	117532790	963694	16
ENSG00000092607.8	TBX15	chr1	gene	119425666	119532179	-	ENSG00000092607.8	protein_coding	KNOWN	2	TBX15	TBX15	1	rs1493694	chr1	120526982	-1101316	14
ENSG00000116874.7	WARS2	chr1	gene	119573839	119683294	-	ENSG00000116874.7	protein_coding	KNOWN	2	WARS2	WARS2	1	rs1493694	chr1	120526982	-953143	13
ENSG00000116882.10	HAO2	chr1	gene	119911402	119936753	+	ENSG00000116882.10	protein_coding	KNOWN	2	HAO2	HAO2	1	rs1493694	chr1	120526982	-615580	12
ENSG00000203859.5	HSD3B2	chr1	gene	119957554	119965658	+	ENSG00000203859.5	protein_coding	KNOWN	2	HSD3B2	HSD3B2	1	rs1493694	chr1	120526982	-569428	10
ENSG00000203857.5	HSD3B1	chr1	gene	120049821	120057681	+	ENSG00000203857.5	protein_coding	KNOWN	2	HSD3B1	HSD3B1	1	rs1493694	chr1	120526982	-477161	9
ENSG00000143067.4	ZNF697	chr1	gene	120162045	120190396	-	ENSG00000143067.4	protein_coding	KNOWN	2	ZNF697	ZNF697	1	rs1493694	chr1	120526982	-364937	7
ENSG00000092621.6	PHGDH	chr1	gene	120202421	120286838	+	ENSG00000092621.6	protein_coding	KNOWN	2	PHGDH	PHGDH	1	rs1493694	chr1	120526982	-324561	6
ENSG00000134240.7	HMGCS2	chr1	gene	120290619	120311528	-	ENSG00000134240.7	protein_coding	KNOWN	2	HMGCS2	HMGCS2	1	rs1493694	chr1	120526982	-236363	4
ENSG00000134193.9	REG4	chr1	gene	120336641	120354283	-	ENSG00000134193.9	protein_coding	KNOWN	2	REG4	REG4	1	rs1493694	chr1	120526982	-190341	3
ENSG00000134249.5	ADAM30	chr1	gene	120436156	120439118	-	ENSG00000134249.5	protein_coding	KNOWN	2	ADAM30	ADAM30	1	rs1493694	chr1	120526982	-90826	2
ENSG00000134250.11	NOTCH2	chr1	gene	120454176	120612240	-	ENSG00000134250.11	protein_coding	KNOWN	2	NOTCH2	NOTCH2	1	rs1493694	chr1	120526982	-72806	1
ENSG00000188610.7	FAM72B	chr1	gene	120837272	120855681	+	ENSG00000188610.7	protein_coding	KNOWN	2	FAM72B	FAM72B	1	rs1493694	chr1	120526982	310290	5
ENSG00000198019.7	FCGR1B	chr1	gene	120926979	120935937	-	ENSG00000198019.7	protein_coding	KNOWN	2	FCGR1B	FCGR1B	1	rs1493694	chr1	120526982	399997	8
ENSG00000171943.7	SRGAP2P1	chr1	gene	121107124	121129949	+	ENSG00000171943.7	pseudogene	KNOWN	2	SRGAP2P1	SRGAP2C	1	rs1493694	chr1	120526982	580142	11
ENSG00000143437.14	ARNT	chr1	gene	150782181	150849244	-	ENSG00000143437.14	protein_coding	KNOWN	1	ARNT	ARNT	1	rs145904381	chr1	151017991	-235810	19
ENSG00000143379.7	SETDB1	chr1	gene	150898739	150937213	+	ENSG00000143379.7	protein_coding	KNOWN	1	SETDB1	SETDB1	1	rs145904381	chr1	151017991	-119252	13
ENSG00000143418.14	CERS2	chr1	gene	150933059	150947479	-	ENSG00000143418.14	protein_coding	KNOWN	1	CERS2	CERS2	1	rs145904381	chr1	151017991	-84932	9
ENSG00000143412.5	ANXA9	chr1	gene	150954493	150968110	+	ENSG00000143412.5	protein_coding	KNOWN	2	ANXA9	ANXA9	1	rs145904381	chr1	151017991	-63498	8
ENSG00000143409.11	FAM63A	chr1	gene	150969025	150980851	-	ENSG00000143409.11	protein_coding	KNOWN	2	FAM63A	FAM63A	1	rs145904381	chr1	151017991	-48966	7
ENSG00000143363.10	PRUNE	chr1	gene	150980896	151008189	+	ENSG00000143363.10	protein_coding	KNOWN	2	PRUNE	PRUNE	1	rs145904381	chr1	151017991	-37095	6
ENSG00000163141.13	BNIPL	chr1	gene	151009046	151020076	+	ENSG00000163141.13	protein_coding	KNOWN	2	BNIPL	BNIPL	1	rs145904381	chr1	151017991	-8945	3
ENSG00000143443.8	C1orf56	chr1	gene	151020216	151024462	+	ENSG00000143443.8	protein_coding	KNOWN	2	C1orf56	C1orf56	1	rs145904381	chr1	151017991	2225	1
ENSG00000197622.7	CDC42SE1	chr1	gene	151023447	151032249	-	ENSG00000197622.7	protein_coding	KNOWN	2	CDC42SE1	CDC42SE1	1	rs145904381	chr1	151017991	5456	2
ENSG00000213190.2	MLLT11	chr1	gene	151030234	151040970	+	ENSG00000213190.2	protein_coding	KNOWN	2	MLLT11	MLLT11	1	rs145904381	chr1	151017991	12243	4
ENSG00000143458.6	GABPB2	chr1	gene	151043054	151098018	+	ENSG00000143458.6	protein_coding	KNOWN	2	GABPB2	GABPB2	1	rs145904381	chr1	151017991	25063	5
ENSG00000143434.10	SEMA6C	chr1	gene	151104161	151119104	-	ENSG00000143434.10	protein_coding	KNOWN	2	SEMA6C	SEMA6C	1	rs145904381	chr1	151017991	86170	10
ENSG00000163154.5	TNFAIP8L2	chr1	gene	151129105	151132225	+	ENSG00000163154.5	protein_coding	KNOWN	2	TNFAIP8L2	TNFAIP8L2	1	rs145904381	chr1	151017991	111114	11
ENSG00000163155.7	LYSMD1	chr1	gene	151132224	151138424	-	ENSG00000163155.7	protein_coding	KNOWN	2	LYSMD1	LYSMD1	1	rs145904381	chr1	151017991	114233	12
ENSG00000163156.6	SCNM1	chr1	gene	151138498	151142773	+	ENSG00000163156.6	protein_coding	KNOWN	2	SCNM1	SCNM1	1	rs145904381	chr1	151017991	120507	14
ENSG00000163157.8	TMOD4	chr1	gene	151142462	151148492	-	ENSG00000163157.8	protein_coding	KNOWN	2	TMOD4	TMOD4	1	rs145904381	chr1	151017991	124471	15
ENSG00000163159.6	VPS72	chr1	gene	151142463	151167797	-	ENSG00000163159.6	protein_coding	KNOWN	1	VPS72	VPS72	1	rs145904381	chr1	151017991	124472	16
ENSG00000143398.14	PIP5K1A	chr1	gene	151170425	151222012	+	ENSG00000143398.14	protein_coding	KNOWN	1	PIP5K1A	PIP5K1A	1	rs145904381	chr1	151017991	152434	17
ENSG00000159352.10	PSMD4	chr1	gene	151227179	151239955	+	ENSG00000159352.10	protein_coding	KNOWN	1	PSMD4	PSMD4	1	rs145904381	chr1	151017991	209188	18
ENSG00000143373.12	ZNF687	chr1	gene	151254094	151264381	+	ENSG00000143373.12	protein_coding	KNOWN	1	ZNF687	ZNF687	1	rs145904381	chr1	151017991	236103	20
ENSG00000152092.9	ASTN1	chr1	gene	176826438	177134109	-	ENSG00000152092.9	protein_coding	KNOWN	1	ASTN1	ASTN1	1	rs539515	chr1	177889025	-1062587	8
ENSG00000198797.5	FAM5B	chr1	gene	177140063	177251558	+	ENSG00000198797.5	protein_coding	KNOWN	2	FAM5B	BRINP2	1	rs539515	chr1	177889025	-748962	5
ENSG00000120341.10	SEC16B	chr1	gene	177896701	177995366	-	ENSG00000120341.10	protein_coding	KNOWN	1	SEC16B	SEC16B	1	rs539515	chr1	177889025	7676	1
ENSG00000075391.11	RASAL2	chr1	gene	178062864	178448644	+	ENSG00000075391.11	protein_coding	KNOWN	2	RASAL2	RASAL2	1	rs539515	chr1	177889025	173839	2
ENSG00000240021.5	C1orf49	chr1	gene	178482212	178517734	+	ENSG00000240021.5	protein_coding	KNOWN	2	C1orf49	TEX35	1	rs539515	chr1	177889025	593187	3
ENSG00000213057.4	C1orf220	chr1	gene	178511887	178518024	+	ENSG00000213057.4	protein_coding	KNOWN	2	C1orf220	C1orf220	1	rs539515	chr1	177889025	622862	4
ENSG00000116191.11	RALGPS2	chr1	gene	178694300	179065553	+	ENSG00000116191.11	protein_coding	KNOWN	2	RALGPS2	RALGPS2	1	rs539515	chr1	177889025	805275	6
ENSG00000116194.7	ANGPTL1	chr1	gene	178818840	178840187	-	ENSG00000116194.7	protein_coding	KNOWN	2	ANGPTL1	ANGPTL1	1	rs539515	chr1	177889025	929815	7
ENSG00000133056.8	PIK3C2B	chr1	gene	204391756	204463852	-	ENSG00000133056.8	protein_coding	KNOWN	2	PIK3C2B	PIK3C2B	1	rs12048743	chr1	205114873	-723117	20
ENSG00000198625.7	MDM4	chr1	gene	204485511	204542871	+	ENSG00000198625.7	protein_coding	KNOWN	2	MDM4	MDM4	1	rs12048743	chr1	205114873	-629362	17
ENSG00000170382.7	LRRN2	chr1	gene	204586298	204654861	-	ENSG00000170382.7	protein_coding	KNOWN	2	LRRN2	LRRN2	1	rs12048743	chr1	205114873	-528575	14
ENSG00000163531.10	NFASC	chr1	gene	204797779	204991950	+	ENSG00000163531.10	protein_coding	KNOWN	2	NFASC	NFASC	1	rs12048743	chr1	205114873	-317094	9
ENSG00000184144.5	CNTN2	chr1	gene	205012325	205047627	+	ENSG00000184144.5	protein_coding	KNOWN	2	CNTN2	CNTN2	1	rs12048743	chr1	205114873	-102548	5
ENSG00000174529.6	TMEM81	chr1	gene	205052258	205053645	-	ENSG00000174529.6	protein_coding	KNOWN	2	TMEM81	TMEM81	1	rs12048743	chr1	205114873	-62615	3
ENSG00000117222.9	RBBP5	chr1	gene	205055270	205091143	-	ENSG00000117222.9	protein_coding	KNOWN	2	RBBP5	RBBP5	1	rs12048743	chr1	205114873	-59603	2
ENSG00000133059.12	DSTYK	chr1	gene	205111632	205180727	-	ENSG00000133059.12	protein_coding	KNOWN	2	DSTYK	DSTYK	1	rs12048743	chr1	205114873	-3241	1
ENSG00000133069.10	TMCC2	chr1	gene	205197304	205242471	+	ENSG00000133069.10	protein_coding	KNOWN	2	TMCC2	TMCC2	1	rs12048743	chr1	205114873	82431	4
ENSG00000163545.7	NUAK2	chr1	gene	205271187	205290883	-	ENSG00000163545.7	protein_coding	KNOWN	2	NUAK2	NUAK2	1	rs12048743	chr1	205114873	156314	6
ENSG00000162873.9	KLHDC8A	chr1	gene	205305220	205326166	-	ENSG00000162873.9	protein_coding	KNOWN	2	KLHDC8A	KLHDC8A	1	rs12048743	chr1	205114873	190347	7
ENSG00000186007.5	LEMD1	chr1	gene	205350506	205425082	-	ENSG00000186007.5	protein_coding	KNOWN	2	LEMD1	LEMD1	1	rs12048743	chr1	205114873	235633	8
ENSG00000117266.10	CDK18	chr1	gene	205473723	205501921	+	ENSG00000117266.10	protein_coding	KNOWN	1	CDK18	CDK18	1	rs12048743	chr1	205114873	358850	10
ENSG00000174514.8	MFSD4	chr1	gene	205538013	205572046	+	ENSG00000174514.8	protein_coding	KNOWN	2	MFSD4	MFSD4	1	rs12048743	chr1	205114873	423140	11
ENSG00000158711.8	ELK4	chr1	gene	205566707	205601090	-	ENSG00000158711.8	protein_coding	KNOWN	2	ELK4	ELK4	1	rs12048743	chr1	205114873	451834	12
ENSG00000158715.5	SLC45A3	chr1	gene	205626979	205649587	-	ENSG00000158715.5	protein_coding	KNOWN	2	SLC45A3	SLC45A3	1	rs12048743	chr1	205114873	512106	13
ENSG00000069275.11	NUCKS1	chr1	gene	205681947	205719404	-	ENSG00000069275.11	protein_coding	KNOWN	2	NUCKS1	NUCKS1	1	rs12048743	chr1	205114873	567074	15
ENSG00000117280.8	RAB7L1	chr1	gene	205737114	205744588	-	ENSG00000117280.8	protein_coding	KNOWN	2	RAB7L1	RAB29	1	rs12048743	chr1	205114873	622241	16
ENSG00000133065.6	SLC41A1	chr1	gene	205758221	205782876	-	ENSG00000133065.6	protein_coding	KNOWN	2	SLC41A1	SLC41A1	1	rs12048743	chr1	205114873	643348	18
ENSG00000162877.8	PM20D1	chr1	gene	205797150	205819260	-	ENSG00000162877.8	protein_coding	KNOWN	1	PM20D1	PM20D1	1	rs12048743	chr1	205114873	682277	19
ENSG00000196550.5	FAM72A	chr1	gene	206136916	206155151	+	ENSG00000196550.5	protein_coding	KNOWN	2	FAM72A	FAM72A	1	rs9430095	chr1	206593900	-456984	14
ENSG00000198049.5	AVPR1B	chr1	gene	206223976	206231639	+	ENSG00000198049.5	protein_coding	KNOWN	2	AVPR1B	AVPR1B	1	rs9430095	chr1	206593900	-369924	11
ENSG00000196533.6	C1orf186	chr1	gene	206238872	206288647	-	ENSG00000196533.6	protein_coding	KNOWN	2	C1orf186	C1orf186	1	rs9430095	chr1	206593900	-355028	10
ENSG00000196188.6	CTSE	chr1	gene	206317459	206332104	+	ENSG00000196188.6	protein_coding	KNOWN	2	CTSE	CTSE	1	rs9430095	chr1	206593900	-276441	8
ENSG00000163486.7	SRGAP2	chr1	gene	206516198	206637783	+	ENSG00000163486.7	protein_coding	KNOWN	2	SRGAP2	SRGAP2	1	rs9430095	chr1	206593900	-77702	3
ENSG00000143466.7	IKBKE	chr1	gene	206643791	206670223	+	ENSG00000143466.7	protein_coding	KNOWN	2	IKBKE	IKBKE	1	rs9430095	chr1	206593900	49891	1
ENSG00000162888.4	C1orf147	chr1	gene	206664449	206671061	-	ENSG00000162888.4	protein_coding	KNOWN	2	C1orf147	C1orf147	1	rs9430095	chr1	206593900	70549	2
ENSG00000136653.13	RASSF5	chr1	gene	206680879	206762616	+	ENSG00000136653.13	protein_coding	KNOWN	2	RASSF5	RASSF5	1	rs9430095	chr1	206593900	86979	4
ENSG00000143486.9	EIF2D	chr1	gene	206744620	206785904	-	ENSG00000143486.9	protein_coding	KNOWN	2	EIF2D	EIF2D	1	rs9430095	chr1	206593900	150720	5
ENSG00000143479.11	DYRK3	chr1	gene	206808881	206857764	+	ENSG00000143479.11	protein_coding	KNOWN	2	DYRK3	DYRK3	1	rs9430095	chr1	206593900	214981	6
